"year....seq.2008..2017.";"num.ips.flag.bad";"num.ips.changing.fingerprint";"num.obs";"num.obs.known.fingerprint";"num.ips";"num.ips.known.fingerprint";"num.sybills"
2008;2;446;3762726;2398992;110128;25508;1
2009;21;86;12949610;2667988;369201;1564;1
2010;111;27;15361304;1407558;359012;550;2
2011;410;14;21094892;910932;380154;348;2
2012;30835;10;25442894;604570;342638;238;2
2013;16156;9;33822637;468958;419640;191;1
2014;9096;6;49999164;383000;458180;215;1
2015;588;4;58533702;294889;321152;125;1
2016;428;3;62454684;221141;249408;90;2
2017;71;1;20941039;66639;76896;37;2
